source,target,weight
10ij,10ik,0.5886137253390613
10ij,6gx5,0.07462398025491783
10ij,6tjo,1.0642940765812283
10ij,6tjx,1.0538267941156885
10ij,6vh7,0.8575838791263495
10ij,6vha,0.7758149478115047
10ij,7p65,0.9967433891480818
10ij,7p68,0.030026550999603246
10ij,7p6a,0.37975263200833614
10ij,7p6b,0.1688737802474662
10ij,7p6c,0.3922248499147457
10ij,7p6d,0.9251930513423681
10ij,7p6e,0.5025620775414895
10ij,7u0z,0.4601130058597544
10ij,8orf,1.028566338220358
10ij,8org,0.08176678725700168
10ij,8p34,0.03382815055171533
10ij,9gg0,0.29070416554330547
10ij,9gg1,1.063666833746986
10ik,10ij,0.5886137253390613
10ik,6tjo,0.24898681197858524
10ik,6tjx,0.08367480720975251
10ik,6vh7,0.09890002163980692
10ik,6vha,0.12406832921598894
10ik,7p6a,0.0741129086586893
10ik,9gg1,0.07923068526652097
10kr,5o3l,0.4884755018657295
10kr,5o3o,0.6079717389758482
10kr,5o3t,1.0533877233152182
10kr,6hre,0.6760329013370182
10kr,6hrf,0.27545478366317966
10kr,6nwp,1.0929854317749026
10kr,6nwq,0.6550853397851636
10kr,6vhl,0.466087931931244
10kr,6vi3,0.4136874768039568
10kr,7mkf,0.6449324797015489
10kr,7mkg,0.7637670050277849
10kr,7mkh,0.472013984788036
10kr,7nrq,0.5117715959139784
10kr,7nrs,0.7759293650211
10kr,7nrt,0.6563335778431367
10kr,7nrv,0.5497104413586421
10kr,7nrx,0.8851775667438961
10kr,7qjv,0.7694881194045994
10kr,7qjw,1.033724538884536
10kr,7qjx,0.40001975348273444
10kr,7qjy,0.7957121697451046
10kr,7qjz,0.6212604570362343
10kr,7qk1,0.813935710458531
10kr,7qk2,0.5931515123091948
10kr,7qk5,0.8046936310942032
10kr,7qki,0.8231010982493752
10kr,7qkj,1.056831070331438
10kr,7qkk,0.9080487119668635
10kr,7qkl,0.6300862696059546
10kr,7qku,0.9699303836322295
10kr,7qkv,1.0192253323999856
10kr,7qkx,1.3435498505173147
10kr,7ql0,1.3965045195481238
10kr,7ql1,0.9158312225453427
10kr,7ql3,0.4186539502635919
10kr,7ql4,0.5372274356315548
10kr,7r4t,0.823393791281163
10kr,7r5h,0.5915421356703813
10kr,7upe,0.9645330922365016
10kr,7upf,0.9142845228010966
10kr,7upg,0.061274724573702824
10kr,7ymn,0.07714431565261788
10kr,8azu,0.9641597859286442
10kr,8bgs,0.6774825567780507
10kr,8bgv,0.31442718364057376
10kr,8byn,0.874192854082368
10kr,8caq,1.2514185027953069
10kr,8cax,0.7324815017503423
10kr,8fug,0.7321456119519342
10kr,8ore,0.8701540871828672
10kr,8ot6,1.271683290373511
10kr,8ot9,1.1283013743690802
10kr,8otc,0.833496539120685
10kr,8otg,0.9703358110841972
10kr,8oth,0.9503084936113296
10kr,8oti,0.9949581422348472
10kr,8otj,0.7068476162526881
10kr,8q27,0.5410778244767073
10kr,8q2j,0.9045982956659773
10kr,8q2k,0.7514793079705598
10kr,8q2l,0.7783463836886735
10kr,8q7f,0.4453514403582678
10kr,8q7l,0.7567755781291869
10kr,8q7m,0.8371096518282695
10kr,8q7p,1.0216933566381419
10kr,8q7t,0.7850969309414101
10kr,8q88,0.8748178917581685
10kr,8q8c,0.7517984981545737
10kr,8q8d,1.002181049856641
10kr,8q8e,0.7472332470710206
10kr,8q8f,0.92579923419514
10kr,8q8l,0.7295968922793985
10kr,8q8m,0.6175113377382335
10kr,8q8r,0.559407725930326
10kr,8q8s,0.9507558801560482
10kr,8q8u,0.6781830207743109
10kr,8q8v,0.5009339369661101
10kr,8q8w,0.9079141732630889
10kr,8q8x,0.5719512149797935
10kr,8q8y,0.6425006682100437
10kr,8q8z,0.7753345309518469
10kr,8q97,1.0403137317691828
10kr,8q98,0.5934995096640989
10kr,8q99,0.8996489261082038
10kr,8q9a,0.9317592942236722
10kr,8q9b,0.7255706354072917
10kr,8q9c,1.1333174771297805
10kr,8q9d,0.8754866960830598
10kr,8q9e,0.6132249481934765
10kr,8q9f,1.1674801040871103
10kr,8q9g,0.8517700620194081
10kr,8q9h,0.9296108660440113
10kr,8q9i,1.1665987103336646
10kr,8q9j,0.8912749163078951
10kr,8q9k,0.6615833641559401
10kr,8q9l,1.019139847240138
10kr,8q9m,1.1977034608674608
10kr,8q9o,1.1087515239374872
10kr,8qcp,0.9279213346866231
10kr,8qcr,0.9934026753049988
10kr,8qjj,1.1110977584789485
10kr,8seh,0.6917330848215008
10kr,8sei,0.9321857249137373
10kr,8uq7,0.8449319137056447
10kr,8zwl,0.9686032185377098
10kr,8zwm,0.9259908708132649
10kr,8zx6,0.7988195507280497
10kr,9b4l,0.3537738715723583
10kr,9b4m,0.8605854641066791
10kr,9b4n,0.96100916264244
10kr,9b4o,0.842463625686749
10kr,9bbl,1.1081555715834783
10kr,9bbm,0.4575132996201024
10kr,9bxi,0.8171391315962928
10kr,9bxo,0.669492906242847
10kr,9bxq,0.7657984295017268
10kr,9bxr,0.671454865076158
10kr,9cgx,0.9103471723208513
10kr,9cgz,0.6813380660461691
10kr,9czi,0.7022744109385043
10kr,9czl,0.7391865830934397
10kr,9eo7,0.78412918707396
10kr,9eo9,0.7117695655850843
10kr,9eoe,0.9723611352493012
10kr,9eog,0.4247546748856957
10kr,9eoh,0.7577480140215986
10kr,9erm,1.0933663746443616
10kr,9ern,0.9634956295438076
10kr,9ero,1.2051443081922346
10kr,9fh6,0.7663687648917169
10kr,9h5g,0.48535397460754287
10kr,9h5j,0.5770835701438886
10kr,9hbb,0.7380506667896805
10kr,9o6v,0.5427991341676204
10kr,9o6w,0.6403506816956297
10kr,9o6x,0.747799371016175
10kr,9o6y,0.808399350947953
10kr,9o6z,0.9601847560917312
10kr,9o76,0.9884400426406985
10kr,9o79,0.5820131237485706
10kr,9o7b,0.9709593019769521
10kr,9o7c,0.7763473089041507
10kr,9pgo,0.2640204308669702
10kr,9r2f,0.7092715893857298
10kr,9shs,1.234911157319613
10kr,9tzx,2.028127820867611
10xu,6a6b,0.14322276261370354
10xu,6peo,0.42222869655113093
10xu,6pes,0.19373671827060054
10xu,6rt0,0.09492655088699531
10xu,6ufr,0.33583378849444057
10xu,6xyp,0.3223400961992685
10xu,6xyq,0.3345327277869375
10xu,7e0f,0.16589307423424643
10xu,7nca,0.1532134591160626
10xu,7ncj,0.07127982425786321
10xu,7nck,0.42353540247702465
10xu,7uak,0.21903911548207042
10xu,7v47,0.33997164608660935
10xu,7v48,0.629278372584978
10xu,7v49,0.4147877197102794
10xu,7v4c,0.4901044144405483
10xu,7wmm,0.06191443213642298
10xu,7wnz,0.441422354192955
10xu,7wo0,0.38522851934783403
10xu,7xo0,0.1378664084576843
10xu,7xo1,0.43131043929288876
10xu,7xo3,0.3426011085556663
10xu,7yk2,0.1820355036177181
10xu,7yk8,0.32673736657608005
10xu,7ynf,0.2696547670202405
10xu,7ynl,0.07230889240359946
10xu,7ynm,0.3984942249345447
10xu,7ynn,0.40198774403586246
10xu,7yno,0.4799700152566263
10xu,7ynp,0.3436124483139699
10xu,7ynq,0.4596523630369835
10xu,8aex,0.08810578896314505
10xu,8bqv,0.01093981237669675
10xu,8ce7,0.7246371934134536
10xu,8ceb,0.2150055465553538
10xu,8h03,0.006798013760689403
10xu,8h04,0.5508184443493171
10xu,8pix,0.15860279192730517
10xu,8pjo,0.3459140696373629
10xu,8pk2,0.026163890991208645
10xu,8ri9,0.18789756105045238
10xu,8rqm,0.02502370301815876
10xu,8uie,0.33865706658598116
10xu,8xwd,0.26855926071285485
10xu,8y2p,0.08435373641176942
10xu,8zwi,0.16138795302991654
10xu,8zwj,0.02246914634439734
10xu,8zwk,0.1284064590539805
10xu,9cd9,0.14268436202250662
10xu,9cx6,0.3895393501043488
10xu,9e9x,0.2597523163615737
10xu,9euu,0.30561659955912085
10xu,9ewv,0.07982996109551373
10xu,9fyp,0.3467370213901468
10xu,9hxa,0.13950333972892257
10xu,9ijp,0.08137567740808507
10xu,9jby,0.2577698038578575
10xu,9jc3,0.619202276639456
10xu,9jc4,0.4348143319703476
10xu,9jc5,0.38770186264690837
10xu,9jd7,0.46367463225989597
10xu,9jd8,0.3395833859212413
10xu,9jdk,0.4143891909179461
10xu,9je2,0.38663584240766413
10xu,9je4,0.5553995565984884
10xu,9je6,0.3107410135594398
10xu,9je7,0.4193597130523452
10xu,9je8,0.27488589283788833
10xu,9ji8,0.31625263178385954
10xu,9jke,0.44003647809740487
10xu,9k23,0.1304655311625813
10xu,9k24,0.2352709821691043
10xu,9ka3,0.019253806939066347
10xu,9ka4,0.6327710867606772
10xu,9kal,0.6622104665062186
10xu,9kc2,0.1520058250280774
10xu,9kcn,0.21911211297639704
10xu,9kco,0.05104371079233618
10xu,9kcp,0.10755552964587771
10xu,9lon,0.2568056942420424
10xu,9obp,0.13507451601977713
10xu,9qyl,0.6307332269421015
10xu,9qyn,0.15709129620256257
10xu,9rb6,0.5829995260180705
10xu,9rzf,0.17039735954764357
10xu,9tpt,0.5818123790920348
10xu,9uf6,0.20531370570069868
10xu,9ufd,0.4441961886381982
10xu,9uff,0.16138465096071827
10xu,9ufl,0.37014792010660696
10xu,9ufs,0.6301694528795189
10xu,9ufy,0.2272061979947106
10xu,9ug1,0.18947989202892818
10xu,9ujq,0.42792139292075115
12gb,21fb,0.21672130764230454
12gb,2mpz,0.1974180302213521
12gb,2mxu,0.20789665751884057
12gb,5kk3,0.15162760307634873
12gb,6ti5,0.3929086282654544
12gb,6ti6,0.30372664127749616
12gb,6ti7,0.5605350838205687
12gb,6tub,0.011945224789995856
12gb,6w0o,0.5951276276941794
12gb,7f29,0.09999471632958795
12gb,7m62,0.1741823381085152
12gb,7q4b,0.5123444918694228
12gb,7q4m,0.2319938718938681
12gb,8azs,0.4910611905197456
12gb,8azt,0.14292698687215893
12gb,8bfz,0.13791170934327868
12gb,8bg0,0.23098745335459486
12gb,8kew,0.44402076678805447
12gb,8kf1,0.38896995156098707
12gb,8kf3,0.27613585425921733
12gb,8kf4,0.40304907468348683
12gb,8kf5,0.21031806548442625
12gb,8kf6,0.19173076948319429
12gb,8ol2,0.012261822463020744
12gb,8ol3,0.29548842264956565
12gb,8ol5,0.2616981131024908
12gb,8ol6,0.1504466411204335
12gb,8ol7,0.345599404663877
12gb,8olo,0.6430351953282589
12gb,8ot1,0.10028532380985236
12gb,8ot3,0.1299272905195239
12gb,8otf,0.18792549129040076
12gb,8ovm,0.18793402910294835
12gb,8owe,0.052204093646523876
12gb,8owj,0.10334174427000273
12gb,8qn6,0.031070338160440126
12gb,8sej,0.45106248536622184
12gb,8sek,0.16084280925244193
12gb,8sel,0.42766546813150486
12gb,9ck6,0.46475652748408613
12gb,9cki,0.4048281876483283
12gb,9co4,0.34482276434076176
12gb,9czn,0.19074451599366848
12gb,9czp,0.36252229054664586
12gb,9jaz,0.03786678153089691
12gb,9jb0,0.17513773855120368
12gb,9jb1,0.010913868110598779
12gb,9jb2,0.23929254362940316
12gb,9k0d,0.022602471893003816
12gb,9raw,0.10399162222560761
12gb,9rax,0.22695404728491467
12gb,9riv,0.07834353871490458
12gb,9riw,0.22333110622723576
12gb,9umh,0.009262655037594969
12gb,9wao,0.18585146417514262
12gb,9wap,0.2747934683893699
21fb,12gb,0.21672130764230454
21fb,2mxu,0.2931962580295081
21fb,5kk3,0.23420241767981106
21fb,6n3c,0.08102285195699395
21fb,6ti7,0.08295499437064338
21fb,6w0o,0.17720896731681882
21fb,7f29,0.2293323816543083
21fb,7q4b,0.7678014495353721
21fb,7q4m,0.39817998636692326
21fb,8azs,0.6672034188437139
21fb,8azt,0.23142190490603493
21fb,8bfz,0.5201627658099374
21fb,8bg0,0.017425877230849963
21fb,8ezd,0.0768438658365004
21fb,8eze,0.12442708044792265
21fb,8j47,0.009717793103024942
21fb,8kew,0.8014211955516874
21fb,8kf1,1.0443211163682016
21fb,8kf3,0.827882353323905
21fb,8kf4,0.8228595599318111
21fb,8kf5,0.6661191125862367
21fb,8kf6,0.7334606882875118
21fb,8ol2,0.3910899534755218
21fb,8ol3,0.6369094039652928
21fb,8ol5,0.5343155295481294
21fb,8ol6,0.48837988456648224
21fb,8ol7,0.39577708192348326
21fb,8olo,0.17463087051993637
21fb,8otf,0.4831407256523259
21fb,8sej,0.6044720156116667
21fb,8sek,0.018152529801090455
21fb,8sel,0.039691293037950375
21fb,9ck6,0.7442224733767768
21fb,9cki,0.7216625404578829
21fb,9co4,0.7722553819433984
21fb,9czn,0.8912494397750519
21fb,9czp,0.8763607423528551
21fb,9fh1,0.27012918660563934
21fb,9fh2,0.18176018385863973
21fb,9fh3,0.2276586708283821
21fb,9fh4,0.09553017351184517
21fb,9iio,0.026264167188974185
21fb,9jaz,0.08208058940639516
21fb,9jb0,0.34452283274904943
21fb,9jb1,0.23207348349381124
21fb,9jb2,0.5489728974175334
21fb,9k0d,0.39346350954235587
21fb,9k0e,0.20783419205091286
21fb,9k0f,0.3286472932795431
21fb,9m5q,0.09147108053067392
21fb,9riv,0.018745632342750666
21fb,9umh,0.09668751854097148
21fb,9wao,0.34555136726067115
21fb,9wap,0.2600154958018893
22jy,6qjh,0.021697819765167436
22jy,7qk6,0.20713039401302796
22jy,8wcp,0.14864063972987035
2beg,6ti6,0.041089488518421875
2beg,6ti7,0.038461972411669224
2beg,7q4b,0.022153692467534868
2beg,8kew,0.04182670677058218
2beg,8kf4,0.08146436459926833
2beg,8sej,0.11013610428264275
2beg,9ck6,0.04398439851638388
2beg,9fh2,0.009440087808253589
2beg,9fh3,0.04769074020330031
2beg,9jb2,0.07629733115376683
2beg,9k0f,0.038049844109884476
2m4j,8ff2,0.16660971114666662
2m4j,8ot4,0.00421958614280199
